id,ts_open,ts_open_utc,symbol,direction,alert_type,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing
1682,1786630784,2026-08-13T14:19:44+00:00,SNOWUSDT,LONG,bb_squeeze,334.52,331.72326732673264,340.1134653465346,sl_first,1786635000,2026-08-13T15:30:00+00:00,-1.0,stop_touch,no,,,3.0472,below_50%,sl,1786634704,331.56
1683,1786630786,2026-08-13T14:19:46+00:00,ORCLXUSDT,LONG,bb_squeeze,157.79,156.71742574257425,159.93514851485148,sl_first,1786634100,2026-08-13T15:15:00+00:00,-1.0,stop_touch,no,,,6.6788,below_50%,sl,1786633897,156.35
1686,1786632868,2026-08-13T14:54:28+00:00,PLTRXUSDT,LONG,bb_squeeze,175.92,174.65138613861384,178.45722772277227,sl_first,1786633200,2026-08-13T15:00:00+00:00,-1.0,stop_touch,no,,,4.7879,below_50%,sl,1786633442,174.31
1688,1786633869,2026-08-13T15:11:09+00:00,FLEXUSDT,LONG,bb_squeeze,126.86,125.51742574257426,129.5451485148515,sl_first,1786646700,2026-08-13T18:45:00+00:00,-1.0,stop_touch,no,,,5.0608,below_50%,sl,1786646914,125.35
1689,1786633912,2026-08-13T15:11:52+00:00,PYTHUSDT,LONG,bb_squeeze,0.04061,0.04013920792079208,0.041551584158415845,tp_first,1786635900,2026-08-13T15:45:00+00:00,2.0,target_touch,no,,,3.5119,below_50%,tp,1786636368,0.04167
1690,1786633960,2026-08-13T15:12:40+00:00,ONUSDT,LONG,bb_squeeze,0.38563,0.3710548514851485,0.4147802970297029,tp_first,1786666500,2026-08-14T00:15:00+00:00,2.0,target_touch,no,,,11.19,below_50%,sl,1786698267,0.3710548514851485
1691,1786634058,2026-08-13T15:14:18+00:00,BTRUSDT,LONG,bb_squeeze,0.0307,0.02923059405940594,0.03363881188118812,sl_first,1786685400,2026-08-14T05:30:00+00:00,-1.0,stop_touch,no,,,18.3878,below_50%,sl,1786685923,0.02901
1692,1786634058,2026-08-13T15:14:18+00:00,CHIPUSDT,SHORT,bb_squeeze,0.0227,0.02302930693069307,0.022041386138613863,sl_first,1786664700,2026-08-13T23:45:00+00:00,-1.0,stop_touch,no,,,6.8554,below_50%,tp,1786680555,0.02184
1693,1786634072,2026-08-13T15:14:32+00:00,RESOLVUSDT,LONG,bb_squeeze,0.01703,0.016853960396039605,0.017382079207920793,sl_first,1786635000,2026-08-13T15:30:00+00:00,-1.0,stop_touch,no,,,2.5195,below_50%,sl,1786635117,0.01683
1694,1786634762,2026-08-13T15:26:02+00:00,SNXXUSDT,LONG,overheated_24h,14.361,14.001975,14.935440000000002,ambiguous,1786635000,2026-08-13T15:30:00+00:00,nan,both_barriers_same_candle,no,,,24.4373,below_50%,sl,1786635990,13.945
