id,ts_open,ts_open_utc,symbol,direction,alert_type,strategy,is_shadow,status,ts_close,ts_close_utc,entry_price,sl_price,tp_price,exit_price,result_r,outcome,btc_candle_ts,btc_candle_ts_utc,btc_close,btc_ema50,trend_regime,regime_reason
1562,1786558049,2026-08-12T18:07:29+00:00,EULUSDT,SHORT,confluence,confluence,1,sl,1787173177,2026-08-19T20:59:37+00:00,1.1952,1.2824861421687028,1.0206277156625945,1.2824861421687028,-1.0,loss,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1563,1786558389,2026-08-12T18:13:09+00:00,NBISUSDT,LONG,overheated_24h,overheated_24h,1,tp,1786631783,2026-08-13T14:36:23+00:00,249.09,237.49219300253213,272.2856139949357,273.41,2.0969481562600385,win,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1566,1786559453,2026-08-12T18:30:53+00:00,SPCXUSDT,LONG,confluence,confluence,1,sl,1786629542,2026-08-13T13:59:02+00:00,148.22,142.8032976847881,159.05340463042378,142.37,-1.079992892275298,loss,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1567,1786559453,2026-08-12T18:30:53+00:00,TRUTHUSDT,LONG,confluence,confluence,1,sl,1786680555,2026-08-14T04:09:15+00:00,0.013777,0.013382954678148712,0.014565090643702577,0.013381,-1.00496054144109,loss,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1568,1786560047,2026-08-12T18:40:47+00:00,EDENUSDT,LONG,confluence,confluence,1,tp,1786638925,2026-08-13T16:35:25+00:00,0.04526,0.04289928818787718,0.049981423624245645,0.05004,2.024813014216116,win,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1569,1786563339,2026-08-12T19:35:39+00:00,PIEVERSEUSDT,LONG,confluence,confluence,1,sl,1786638538,2026-08-13T16:28:58+00:00,0.7643,0.7287119555997007,0.8354760888005985,0.7283,-1.011575673983853,loss,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1570,1786563339,2026-08-12T19:35:39+00:00,QNTXUSDT,LONG,confluence,confluence,1,sl,1786633023,2026-08-13T14:57:03+00:00,71.83,68.61390893331958,78.26218213336082,68.48,-1.0416371708832837,loss,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1571,1786563649,2026-08-12T19:40:49+00:00,OKBUSDT,LONG,confluence,confluence,1,tp,1786594225,2026-08-13T04:10:25+00:00,97.92,96.02792603644444,101.70414792711114,103.12,2.7483069373399287,win,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1572,1786564244,2026-08-12T19:50:44+00:00,MNTUSDT,LONG,confluence,confluence,1,sl,1786637784,2026-08-13T16:16:24+00:00,0.4633,0.45342295331228033,0.4830540933754393,0.4533,-1.0124483882852573,loss,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1573,1786564708,2026-08-12T19:58:28+00:00,CYSUSDT,SHORT,pump_24h_fade,pump_24h_fade,1,tp,1786840227,2026-08-16T00:30:27+00:00,1.6224,2.0435460589059598,0.7801078821880807,0.7801078821880807,2.0,win,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1574,1786564990,2026-08-12T20:03:10+00:00,SSPCUSDT,LONG,oversold_24h,oversold_24h,0,sl,1786600528,2026-08-13T05:55:28+00:00,10.221,9.965475,10.62984,9.946,-1.076215634478035,loss,1786550400,2026-08-12T16:00:00+00:00,63396.1,64232.11727352038,bear,close_vs_ema50
