strategy,activation_threshold,step_pct,n,baseline_total_r,alt_total_r,delta_total_r,baseline_avg_r,alt_avg_r,delta_avg_r,baseline_wr_pct,alt_wr_pct,alt_positive_n,alt_negative_n,activated_n,trail_exit_n,baseline_2r_to_alt_loss_n,baseline_sl_to_alt_positive_n
ema_cross_confirmed,+0.75R,10.0,129,88.5,99.161083,10.661083,0.686047,0.768691,0.082644,56.5891,59.6899,77,52,89,17,3,7
ema_cross_confirmed,+1R,2.0,129,88.5,63.402118,-25.097882,0.686047,0.491489,-0.194557,56.5891,67.4419,87,42,83,55,1,15
ema_cross_confirmed,+1R,3.0,129,88.5,74.507474,-13.992526,0.686047,0.577577,-0.108469,56.5891,64.3411,83,46,83,40,5,15
ema_cross_confirmed,+1R,4.0,129,88.5,91.784235,3.284235,0.686047,0.711506,0.025459,56.5891,65.8915,85,44,83,27,3,15
ema_cross_confirmed,+1R,5.0,129,88.5,96.856893,8.356893,0.686047,0.750829,0.064782,56.5891,65.8915,85,44,83,22,2,14
ema_cross_confirmed,+1R,6.0,129,88.5,102.215633,13.715633,0.686047,0.792369,0.106323,56.5891,64.3411,83,46,83,17,2,12
ema_cross_confirmed,+1R,8.0,129,88.5,98.620241,10.120241,0.686047,0.764498,0.078451,56.5891,61.2403,79,50,83,15,3,9
ema_cross_confirmed,+1R,10.0,129,88.5,98.355617,9.855617,0.686047,0.762447,0.0764,56.5891,59.6899,77,52,83,13,3,7
ema_cross_confirmed,any_profit,2.0,129,88.5,39.396883,-49.103117,0.686047,0.305402,-0.380644,56.5891,53.4884,69,60,121,100,21,19
ema_cross_confirmed,any_profit,3.0,129,88.5,62.857435,-25.642565,0.686047,0.487267,-0.19878,56.5891,58.1395,75,54,121,84,16,19
ema_cross_confirmed,any_profit,4.0,129,88.5,97.270011,8.770011,0.686047,0.754031,0.067985,56.5891,63.5659,82,47,121,65,9,19
ema_cross_confirmed,any_profit,5.0,129,88.5,103.706396,15.206396,0.686047,0.803926,0.117879,56.5891,64.3411,83,46,121,60,6,17
ema_cross_confirmed,any_profit,6.0,129,88.5,109.014206,20.514206,0.686047,0.845071,0.159025,56.5891,62.0155,80,49,121,54,4,12
ema_cross_confirmed,any_profit,8.0,129,88.5,104.141516,15.641516,0.686047,0.807299,0.121252,56.5891,61.2403,79,50,121,52,3,10
ema_cross_confirmed,any_profit,10.0,129,88.5,104.570894,16.070894,0.686047,0.810627,0.124581,56.5891,59.6899,77,52,121,48,3,7
high_rejection_short,+0.3R,2.0,53,10.0,8.280593,-1.719407,0.188679,0.156238,-0.032442,39.6226,64.1509,34,19,39,38,2,15
high_rejection_short,+0.3R,3.0,53,10.0,9.342092,-0.657908,0.188679,0.176266,-0.012413,39.6226,64.1509,34,19,39,37,1,14
high_rejection_short,+0.3R,4.0,53,10.0,8.30495,-1.69505,0.188679,0.156697,-0.031982,39.6226,60.3774,32,21,39,34,3,14
high_rejection_short,+0.3R,5.0,53,10.0,9.324918,-0.675082,0.188679,0.175942,-0.012737,39.6226,50.9434,27,26,39,31,5,11
high_rejection_short,+0.3R,6.0,53,10.0,11.11572,1.11572,0.188679,0.209731,0.021051,39.6226,47.1698,25,28,39,29,4,8
high_rejection_short,+0.3R,8.0,53,10.0,4.436432,-5.563568,0.188679,0.083706,-0.104973,39.6226,41.5094,22,31,39,29,5,6
high_rejection_short,+0.3R,10.0,53,10.0,2.219706,-7.780294,0.188679,0.041881,-0.146798,39.6226,39.6226,21,32,39,26,5,5
high_rejection_short,+0.5R,2.0,53,10.0,10.64203,0.64203,0.188679,0.200793,0.012114,39.6226,69.8113,37,16,37,35,0,16
high_rejection_short,+0.5R,3.0,53,10.0,8.616854,-1.383146,0.188679,0.162582,-0.026097,39.6226,67.9245,36,17,37,35,0,15
high_rejection_short,+0.5R,4.0,53,10.0,7.630438,-2.369562,0.188679,0.143971,-0.044709,39.6226,60.3774,32,21,37,32,3,14
high_rejection_short,+0.5R,5.0,53,10.0,8.691951,-1.308049,0.188679,0.163999,-0.02468,39.6226,50.9434,27,26,37,29,5,11
high_rejection_short,+0.5R,6.0,53,10.0,10.674821,0.674821,0.188679,0.201412,0.012732,39.6226,47.1698,25,28,37,27,4,8
high_rejection_short,+0.5R,8.0,53,10.0,4.341785,-5.658215,0.188679,0.08192,-0.106759,39.6226,41.5094,22,31,37,27,5,6
high_rejection_short,+0.5R,10.0,53,10.0,2.219706,-7.780294,0.188679,0.041881,-0.146798,39.6226,39.6226,21,32,37,24,5,5
high_rejection_short,+0.75R,2.0,53,10.0,9.776446,-0.223554,0.188679,0.184461,-0.004218,39.6226,62.2642,33,20,32,30,2,14
high_rejection_short,+0.75R,3.0,53,10.0,8.036641,-1.963359,0.188679,0.151635,-0.037045,39.6226,60.3774,32,21,32,29,2,13
high_rejection_short,+0.75R,4.0,53,10.0,5.87458,-4.12542,0.188679,0.110841,-0.077838,39.6226,58.4906,31,22,32,27,2,12
high_rejection_short,+0.75R,5.0,53,10.0,6.231967,-3.768033,0.188679,0.117584,-0.071095,39.6226,50.9434,27,26,32,24,4,10
high_rejection_short,+0.75R,6.0,53,10.0,8.266928,-1.733072,0.188679,0.15598,-0.032699,39.6226,49.0566,26,27,32,22,4,9
high_rejection_short,+0.75R,8.0,53,10.0,3.492702,-6.507298,0.188679,0.0659,-0.122779,39.6226,43.3962,23,30,32,22,5,7
high_rejection_short,+0.75R,10.0,53,10.0,2.021322,-7.978678,0.188679,0.038138,-0.150541,39.6226,41.5094,22,31,32,19,5,6
high_rejection_short,+1R,2.0,53,10.0,6.27545,-3.72455,0.188679,0.118405,-0.070275,39.6226,54.717,29,24,28,26,2,10
high_rejection_short,+1R,3.0,53,10.0,4.939925,-5.060075,0.188679,0.093206,-0.095473,39.6226,54.717,29,24,28,25,2,10
high_rejection_short,+1R,4.0,53,10.0,3.747328,-6.252672,0.188679,0.070704,-0.117975,39.6226,54.717,29,24,28,23,2,10
high_rejection_short,+1R,5.0,53,10.0,5.074178,-4.925822,0.188679,0.095739,-0.09294,39.6226,52.8302,28,25,28,20,3,10
high_rejection_short,+1R,6.0,53,10.0,7.540471,-2.459529,0.188679,0.142273,-0.046406,39.6226,50.9434,27,26,28,18,3,9
high_rejection_short,+1R,8.0,53,10.0,2.892764,-7.107236,0.188679,0.05458,-0.134099,39.6226,43.3962,23,30,28,18,5,7
high_rejection_short,+1R,10.0,53,10.0,2.021322,-7.978678,0.188679,0.038138,-0.150541,39.6226,41.5094,22,31,28,15,5,6
high_rejection_short,any_profit,2.0,53,10.0,11.562363,1.562363,0.188679,0.218158,0.029479,39.6226,58.4906,31,22,44,43,3,13
high_rejection_short,any_profit,3.0,53,10.0,12.239569,2.239569,0.188679,0.230935,0.042256,39.6226,62.2642,33,20,44,42,1,13
high_rejection_short,any_profit,4.0,53,10.0,10.510452,0.510452,0.188679,0.19831,0.009631,39.6226,58.4906,31,22,44,39,3,13
high_rejection_short,any_profit,5.0,53,10.0,10.745812,0.745812,0.188679,0.202751,0.014072,39.6226,49.0566,26,27,44,36,5,10
high_rejection_short,any_profit,6.0,53,10.0,11.752005,1.752005,0.188679,0.221736,0.033057,39.6226,47.1698,25,28,44,34,4,8
high_rejection_short,any_profit,8.0,53,10.0,4.662147,-5.337853,0.188679,0.087965,-0.100714,39.6226,41.5094,22,31,44,34,5,6
high_rejection_short,any_profit,10.0,53,10.0,2.219706,-7.780294,0.188679,0.041881,-0.146798,39.6226,39.6226,21,32,44,31,5,5
low_rejection_long,+0.3R,2.0,29,4.0,8.902952,4.902952,0.137931,0.306998,0.169067,37.931,62.069,18,11,20,18,2,10
low_rejection_long,+0.3R,3.0,29,4.0,8.721831,4.721831,0.137931,0.300753,0.162822,37.931,44.8276,13,16,20,17,3,6
low_rejection_long,+0.3R,4.0,29,4.0,10.244002,6.244002,0.137931,0.353241,0.21531,37.931,51.7241,15,14,20,15,2,6
low_rejection_long,+0.3R,5.0,29,4.0,7.645521,3.645521,0.137931,0.263639,0.125708,37.931,51.7241,15,14,20,15,2,6
low_rejection_long,+0.3R,6.0,29,4.0,5.50569,1.50569,0.137931,0.189851,0.05192,37.931,48.2759,14,15,20,15,2,5
low_rejection_long,+0.3R,8.0,29,4.0,6.413532,2.413532,0.137931,0.221156,0.083225,37.931,41.3793,12,17,20,13,2,3
low_rejection_long,+0.3R,10.0,29,4.0,6.714579,2.714579,0.137931,0.231537,0.093606,37.931,41.3793,12,17,20,12,2,3
low_rejection_long,+0.5R,2.0,29,4.0,9.589861,5.589861,0.137931,0.330685,0.192754,37.931,62.069,18,11,19,17,2,10
low_rejection_long,+0.5R,3.0,29,4.0,9.772554,5.772554,0.137931,0.336985,0.199054,37.931,51.7241,15,14,19,16,3,7
low_rejection_long,+0.5R,4.0,29,4.0,10.877194,6.877194,0.137931,0.375076,0.237145,37.931,55.1724,16,13,19,14,2,7
low_rejection_long,+0.5R,5.0,29,4.0,8.272117,4.272117,0.137931,0.285245,0.147314,37.931,55.1724,16,13,19,14,2,7
low_rejection_long,+0.5R,6.0,29,4.0,6.093308,2.093308,0.137931,0.210114,0.072183,37.931,51.7241,15,14,19,14,2,6
low_rejection_long,+0.5R,8.0,29,4.0,6.988648,2.988648,0.137931,0.240988,0.103057,37.931,41.3793,12,17,19,12,2,3
low_rejection_long,+0.5R,10.0,29,4.0,6.714579,2.714579,0.137931,0.231537,0.093606,37.931,41.3793,12,17,19,11,2,3
low_rejection_long,+0.75R,2.0,29,4.0,9.999854,5.999854,0.137931,0.344823,0.206892,37.931,65.5172,19,10,17,15,2,11
low_rejection_long,+0.75R,3.0,29,4.0,9.637373,5.637373,0.137931,0.332323,0.194392,37.931,58.6207,17,12,17,14,3,9
low_rejection_long,+0.75R,4.0,29,4.0,10.208642,6.208642,0.137931,0.352022,0.214091,37.931,55.1724,16,13,17,12,2,7
low_rejection_long,+0.75R,5.0,29,4.0,7.87105,3.87105,0.137931,0.271416,0.133484,37.931,55.1724,16,13,17,12,2,7
low_rejection_long,+0.75R,6.0,29,4.0,5.959727,1.959727,0.137931,0.205508,0.067577,37.931,51.7241,15,14,17,12,2,6
low_rejection_long,+0.75R,8.0,29,4.0,6.988648,2.988648,0.137931,0.240988,0.103057,37.931,41.3793,12,17,17,10,2,3
low_rejection_long,+0.75R,10.0,29,4.0,6.714579,2.714579,0.137931,0.231537,0.093606,37.931,41.3793,12,17,17,9,2,3
low_rejection_long,+1R,2.0,29,4.0,5.61137,1.61137,0.137931,0.193496,0.055564,37.931,51.7241,15,14,12,9,2,6
low_rejection_long,+1R,3.0,29,4.0,3.964202,-0.035798,0.137931,0.136697,-0.001234,37.931,48.2759,14,15,12,9,3,6
low_rejection_long,+1R,4.0,29,4.0,5.74014,1.74014,0.137931,0.197936,0.060005,37.931,48.2759,14,15,12,7,2,5
low_rejection_long,+1R,5.0,29,4.0,4.607218,0.607218,0.137931,0.15887,0.020939,37.931,48.2759,14,15,12,7,2,5
low_rejection_long,+1R,6.0,29,4.0,3.522037,-0.477963,0.137931,0.12145,-0.016481,37.931,48.2759,14,15,12,7,2,5
low_rejection_long,+1R,8.0,29,4.0,5.367227,1.367227,0.137931,0.185077,0.047146,37.931,41.3793,12,17,12,5,2,3
low_rejection_long,+1R,10.0,29,4.0,5.628406,1.628406,0.137931,0.194083,0.056152,37.931,41.3793,12,17,12,4,2,3
low_rejection_long,any_profit,2.0,29,4.0,7.130088,3.130088,0.137931,0.245865,0.107934,37.931,58.6207,17,12,21,20,3,10
low_rejection_long,any_profit,3.0,29,4.0,9.316057,5.316057,0.137931,0.321243,0.183312,37.931,44.8276,13,16,21,18,3,6
low_rejection_long,any_profit,4.0,29,4.0,10.682195,6.682195,0.137931,0.368352,0.230421,37.931,51.7241,15,14,21,16,2,6
low_rejection_long,any_profit,5.0,29,4.0,7.927681,3.927681,0.137931,0.273368,0.135437,37.931,51.7241,15,14,21,16,2,6
low_rejection_long,any_profit,6.0,29,4.0,5.631817,1.631817,0.137931,0.194201,0.05627,37.931,48.2759,14,15,21,16,2,5
low_rejection_long,any_profit,8.0,29,4.0,6.413532,2.413532,0.137931,0.221156,0.083225,37.931,41.3793,12,17,21,14,2,3
low_rejection_long,any_profit,10.0,29,4.0,6.714579,2.714579,0.137931,0.231537,0.093606,37.931,41.3793,12,17,21,13,2,3
overheated_24h,+0.3R,2.0,408,83.8,59.717957,-24.082043,0.205392,0.146368,-0.059025,40.4412,59.8039,244,164,307,278,23,107
overheated_24h,+0.3R,3.0,408,83.8,60.275832,-23.524168,0.205392,0.147735,-0.057657,40.4412,52.451,214,194,307,256,26,85
overheated_24h,+0.3R,4.0,408,83.8,98.483266,14.683266,0.205392,0.241381,0.035988,40.4412,50.4902,206,202,307,219,20,68
overheated_24h,+0.3R,5.0,408,83.8,112.636092,28.836092,0.205392,0.276069,0.070677,40.4412,49.5098,202,206,307,197,16,58
overheated_24h,+0.3R,6.0,408,83.8,115.195897,31.395897,0.205392,0.282343,0.076951,40.4412,47.549,194,214,307,183,12,46
overheated_24h,+0.3R,8.0,408,83.8,130.229397,46.429397,0.205392,0.31919,0.113798,40.4412,45.5882,186,222,307,159,5,30
overheated_24h,+0.3R,10.0,408,83.8,120.587986,36.787986,0.205392,0.295559,0.090167,40.4412,43.6275,178,230,307,154,8,27
overheated_24h,+0.5R,2.0,408,83.8,63.011645,-20.788355,0.205392,0.15444,-0.050952,40.4412,63.2353,258,150,267,234,9,104
overheated_24h,+0.5R,3.0,408,83.8,56.730698,-27.069302,0.205392,0.139046,-0.066346,40.4412,54.4118,222,186,267,214,21,84
overheated_24h,+0.5R,4.0,408,83.8,93.618286,9.818286,0.205392,0.229457,0.024064,40.4412,51.9608,212,196,267,179,15,68
overheated_24h,+0.5R,5.0,408,83.8,107.371858,23.571858,0.205392,0.263166,0.057774,40.4412,50.7353,207,201,267,158,12,59
overheated_24h,+0.5R,6.0,408,83.8,109.991899,26.191899,0.205392,0.269588,0.064196,40.4412,48.0392,196,212,267,145,11,47
overheated_24h,+0.5R,8.0,408,83.8,131.818171,48.018171,0.205392,0.323084,0.117692,40.4412,46.3235,189,219,267,119,3,31
