tracker_id,source_demo_id,ts_open_utc,source_ts_close_utc,shadow_ts_close_utc,symbol,strategy,direction,source_is_shadow,entry_price,initial_sl_price,tp_price,step_pct,activation_label,activated,shadow_outcome,shadow_exit_method,baseline_outcome,baseline_r,shadow_r,delta_r
34,5296,2026-08-27T16:16:04+00:00,2026-08-27T21:40:24+00:00,2026-08-27T21:40:54+00:00,MELANIAUSDT,overheated_24h,LONG,1,0.1213,0.11233053571428572,0.13923892857142858,8.0,+0.5R,0,sl,live_price,sl,-1.0,-1.0056342,-0.0056342
35,5297,2026-08-27T16:16:12+00:00,2026-08-29T17:11:27+00:00,2026-08-27T19:03:08+00:00,PROMUSDT,overheated_24h,LONG,1,4.866,4.217035714285714,6.1639285714285705,8.0,+0.5R,1,trail_stop,live_price,tp,2.33911177,-0.0277365,-2.36684827
36,5301,2026-08-27T16:26:03+00:00,2026-08-28T14:17:58+00:00,2026-08-28T14:17:58+00:00,NVDLUSDT,overheated_24h,LONG,1,37.17,35.92339285714286,39.66321428571429,8.0,+0.5R,1,trail_stop,live_price,sl,-1.12304827,-1.12304827,0.0
37,5302,2026-08-27T16:26:13+00:00,2026-08-28T08:48:20+00:00,2026-08-27T21:21:56+00:00,WIFUSDT,overheated_24h,LONG,1,0.2276,0.21328035714285715,0.2562392857142857,8.0,+0.5R,1,trail_stop,live_price,sl,-1.00561167,-0.71230827,0.2933034
38,5304,2026-08-27T16:31:04+00:00,2026-08-28T00:35:56+00:00,2026-08-27T18:52:20+00:00,HFTUSDT,overheated_24h,LONG,1,0.00687,0.006421607142857143,0.007766785714285715,8.0,+0.5R,1,trail_stop,live_price,tp,2.52011151,-0.46833931,-2.98845082
39,5308,2026-08-27T16:45:42+00:00,2026-08-28T14:03:51+00:00,2026-08-28T14:04:55+00:00,SEIUSDT,ema_cross_confirmed,LONG,1,0.04845,0.04659258620689655,0.052164827586206906,6.0,any_profit,1,trail_stop,live_price,sl,-1.0,-1.07138216,-0.07138216
40,5312,2026-08-27T17:01:22+00:00,2026-08-28T16:27:12+00:00,2026-08-28T16:27:12+00:00,MUBARAKUSDT,overheated_24h,LONG,1,0.022,0.020086964285714284,0.025826071428571427,8.0,+0.5R,0,sl,live_price,sl,-1.04545879,-1.04545879,0.0
41,5326,2026-08-27T17:41:23+00:00,2026-08-27T22:39:51+00:00,2026-08-27T23:19:21+00:00,HEMIUSDT,overheated_24h,LONG,1,0.008662,0.007739874999999999,0.01050625,8.0,+0.5R,1,tp,live_price,tp,2.0,2.11251186,0.11251186
43,5330,2026-08-27T18:01:18+00:00,2026-08-28T14:35:15+00:00,2026-08-28T19:54:10+00:00,OKTAUSDT,overheated_24h,LONG,1,172.0,166.34178571428572,183.31642857142856,8.0,+0.5R,0,sl,live_price,sl,-1.0,-1.20709462,-0.20709462
44,5339,2026-08-27T18:30:13+00:00,2026-08-28T06:05:04+00:00,2026-08-28T00:42:55+00:00,CLOUSDT,ema_cross_confirmed,LONG,1,0.10706,0.09809103448275862,0.12499793103448277,6.0,any_profit,1,trail_stop,live_price,sl,-1.0,-0.02787389,0.97212611
45,5340,2026-08-27T18:31:54+00:00,2026-08-28T00:46:09+00:00,2026-08-28T00:46:09+00:00,KMNOUSDT,overheated_24h,LONG,1,0.03038,0.028892857142857144,0.03335428571428572,8.0,+0.5R,0,sl,live_price,sl,-1.61383285,-1.61383285,0.0
46,5342,2026-08-27T18:41:44+00:00,2026-08-28T02:02:06+00:00,2026-08-28T02:02:06+00:00,DFDVXUSDT,overheated_24h,LONG,1,5.097,4.8615,5.5680000000000005,8.0,+0.5R,1,tp,live_price,tp,2.11464968,2.11464968,0.0
48,5365,2026-08-27T20:06:33+00:00,2026-08-27T20:08:34+00:00,2026-08-27T20:20:59+00:00,ASTEROIDUSDT,overheated_24h,LONG,1,7.02e-05,6.359464285714286e-05,8.341071428571429e-05,8.0,+0.5R,0,sl,live_price,sl,-1.0,-1.60475804,-0.60475804
49,5385,2026-08-27T20:30:13+00:00,2026-08-28T10:08:31+00:00,2026-08-28T10:08:31+00:00,POLYXUSDT,ema_cross_confirmed,LONG,1,0.03576,0.03430396551724138,0.03867206896551724,6.0,any_profit,1,trail_stop,live_price,sl,-1.00272351,-1.00272351,0.0
51,5401,2026-08-27T21:30:22+00:00,2026-08-28T16:03:37+00:00,2026-08-28T16:03:37+00:00,JELLYJELLYUSDT,ema_cross_confirmed,LONG,1,0.0568,0.05496689655172414,0.06046620689655173,6.0,any_profit,1,trail_stop,live_price,sl,-1.14559819,-1.14559819,0.0
52,5407,2026-08-27T21:58:33+00:00,2026-08-28T10:39:41+00:00,2026-08-28T10:40:42+00:00,MAGMAUSDT,overheated_24h,LONG,1,0.35347,0.3243378571428572,0.4117342857142857,8.0,+0.5R,1,tp,live_price,tp,2.0,2.23121246,0.23121246
53,5414,2026-08-27T22:28:27+00:00,2026-08-28T02:24:23+00:00,2026-08-28T02:42:06+00:00,MERLUSDT,overheated_24h,LONG,1,0.02391,0.02272339285714286,0.026283214285714288,8.0,+0.5R,0,sl,live_price,sl,-1.0,-1.12927013,-0.12927013
54,5417,2026-08-27T22:33:31+00:00,2026-08-28T02:27:54+00:00,2026-08-28T02:27:54+00:00,BMTUSDT,overheated_24h,LONG,1,0.02686,0.02440428571428571,0.03177142857142857,8.0,+0.5R,0,sl,live_price,sl,-1.00581734,-1.00581734,0.0
55,5425,2026-08-27T23:03:39+00:00,2026-08-28T03:03:05+00:00,2026-08-28T03:04:01+00:00,BTRUSDT,overheated_24h,LONG,1,0.17306,0.1516775,0.215825,8.0,+0.5R,0,sl,live_price,sl,-1.0,-1.08266105,-0.08266105
56,5434,2026-08-27T23:30:13+00:00,2026-08-28T13:12:40+00:00,2026-08-28T02:23:50+00:00,HEMIUSDT,ema_cross_confirmed,LONG,1,0.01071,0.009720362068965517,0.012689275862068968,6.0,any_profit,1,trail_stop,live_price,tp,2.0,-0.28293176,-2.28293176
58,5453,2026-08-28T00:43:12+00:00,2026-08-28T14:30:17+00:00,2026-08-28T15:23:52+00:00,TSTBSCUSDT,ema_cross_confirmed,LONG,1,0.016194,0.015159465517241379,0.018263068965517243,6.0,any_profit,1,tp,live_price,tp,2.0,2.03763145,0.03763145
59,5461,2026-08-28T00:56:24+00:00,2026-08-28T14:42:06+00:00,2026-08-28T14:42:06+00:00,CHILLGUYUSDT,overheated_24h,LONG,1,0.0143,0.013514535714285715,0.01587092857142857,8.0,+0.5R,1,tp,live_price,tp,2.12358478,2.12358478,0.0
61,5463,2026-08-28T01:01:15+00:00,2026-08-28T02:33:49+00:00,2026-08-28T02:33:49+00:00,HEMIUSDT,overheated_24h,LONG,1,0.010869,0.009855267857142858,0.012896464285714285,8.0,+0.5R,0,sl,live_price,sl,-1.03577657,-1.03577657,0.0
