id,strategy,direction,regime,regime_reason,cohort,prior_cohort_n,prior_cohort_wins,prior_cohort_losses,historical_wr_pct,filter_pass,filter_reason
3732,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,204,97,107,47.549,yes,passes
3733,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,204,97,107,47.549,yes,passes
3734,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,204,97,107,47.549,yes,passes
3735,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3736,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3738,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3740,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3742,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3745,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3748,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3751,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3754,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3755,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3757,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3758,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3759,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3760,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3762,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3768,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3770,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3772,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3773,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3774,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3775,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3776,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,219,111,108,50.6849,yes,passes
3791,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,67,58,9,86.5672,yes,passes
3794,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,223,115,108,51.5695,yes,passes
3795,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,223,115,108,51.5695,yes,passes
3796,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3799,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3800,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3801,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3804,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3805,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3806,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3807,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3808,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3809,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3810,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3811,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3812,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3815,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3816,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3817,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3818,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,224,116,108,51.7857,yes,passes
3827,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,255,120,135,47.0588,yes,passes
3830,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,256,120,136,46.875,yes,passes
3832,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,256,120,136,46.875,yes,passes
3866,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,72,59,13,81.9444,yes,passes
3877,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,262,125,137,47.7099,yes,passes
3880,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,262,125,137,47.7099,yes,passes
3882,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,262,125,137,47.7099,yes,passes
3883,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,262,125,137,47.7099,yes,passes
3887,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,262,125,137,47.7099,yes,passes
3888,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,262,125,137,47.7099,yes,passes
3895,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,268,129,139,48.1343,yes,passes
3897,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,269,129,140,47.9554,yes,passes
3937,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,73,59,14,80.8219,yes,passes
3939,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,73,59,14,80.8219,yes,passes
3940,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,28,7,21,25.0,no,below_threshold
3944,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,73,59,14,80.8219,yes,passes
3947,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,28,7,21,25.0,no,below_threshold
3956,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,283,130,153,45.9364,yes,passes
3980,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,287,130,157,45.2962,yes,passes
4070,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,293,133,160,45.3925,yes,passes
4076,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,28,7,21,25.0,no,below_threshold
4085,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,293,133,160,45.3925,yes,passes
4086,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,293,133,160,45.3925,yes,passes
4118,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,28,7,21,25.0,no,below_threshold
4125,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,294,134,160,45.5782,yes,passes
4128,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,294,134,160,45.5782,yes,passes
4130,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,294,134,160,45.5782,yes,passes
4135,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,29,7,22,24.1379,no,below_threshold
4157,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,302,134,168,44.3709,yes,passes
4245,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,29,7,22,24.1379,no,below_threshold
