id,symbol,original_direction,tested_direction,entry,new_sl,new_tp,outcome,exit_ts,r,reason
1673,IWMUSDT,LONG,SHORT,304.49,305.5950495049505,302.279900990099,unresolved,1786717800,0.1628886300510761,window_close
1674,BANANAUSDT,SHORT,LONG,3.688,3.6472376237623765,3.7695247524752475,sl_first,1786637700,-1.0,stop_touch
1675,CRCLXUSDT,LONG,SHORT,72.36,72.9619801980198,71.1560396039604,sl_first,1786631400,-1.0,stop_touch
1676,USARUSDT,LONG,SHORT,18.82,19.077326732673267,18.305346534653467,sl_first,1786715100,-1.0,stop_touch
1677,TAOUSDT,LONG,SHORT,201.2,203.06534653465346,197.46930693069305,sl_first,1786648500,-1.0,stop_touch
1678,NAS100USDT,LONG,SHORT,30050.35,30117.680396039603,29915.68920792079,sl_first,1786706100,-1.0,stop_touch
1679,INTWUSDT,LONG,SHORT,26.26,26.712376237623765,25.355247524752475,sl_first,1786634100,-1.0,stop_touch
1680,MSTRXUSDT,LONG,SHORT,97.0,97.75039603960396,95.49920792079209,sl_first,1786631400,-1.0,stop_touch
1681,COINXUSDT,LONG,SHORT,150.95,151.8259405940594,149.19811881188116,tp_first,1786634100,1.0,target_touch
1682,SNOWUSDT,LONG,SHORT,334.52,337.3167326732673,328.9265346534653,sl_first,1786646700,-1.0,stop_touch
1683,ORCLXUSDT,LONG,SHORT,157.79,158.86257425742573,155.6448514851485,sl_first,1786631400,-1.0,stop_touch
1686,PLTRXUSDT,LONG,SHORT,175.92,177.18861386138613,173.3827722772277,tp_first,1786635000,1.0,target_touch
1688,FLEXUSDT,LONG,SHORT,126.86,128.20257425742574,124.17485148514852,tp_first,1786650300,1.0,target_touch
1689,PYTHUSDT,LONG,SHORT,0.04061,0.04108079207920792,0.039668415841584155,sl_first,1786635900,-1.0,stop_touch
1690,ONUSDT,LONG,SHORT,0.38563,0.40020514851485145,0.356479702970297,sl_first,1786652100,-1.0,stop_touch
1691,BTRUSDT,LONG,SHORT,0.0307,0.03216940594059406,0.02776118811881188,tp_first,1786693500,1.0,target_touch
1692,CHIPUSDT,SHORT,LONG,0.0227,0.022370693069306932,0.02335861386138614,sl_first,1786678200,-1.0,stop_touch
1693,RESOLVUSDT,LONG,SHORT,0.01703,0.017206039603960395,0.01667792079207921,tp_first,1786639500,1.0,target_touch
1699,INXUSDT,SHORT,LONG,0.00737,0.006991683168316831,0.008126633663366337,tp_first,1786639500,1.0,target_touch
1700,HEIUSDT,SHORT,LONG,0.1222,0.11701623762376237,0.13256752475247527,tp_first,1786700700,1.0,target_touch
1701,TOWNSUSDT,SHORT,LONG,0.00218,0.0021436237623762375,0.002252752475247525,sl_first,1786646700,-1.0,stop_touch
1702,LITEUSDT,SHORT,LONG,916.09,901.8054455445545,944.6591089108912,sl_first,1786644900,-1.0,stop_touch
1703,MONUSDT,SHORT,LONG,0.02148,0.021267326732673265,0.021905346534653466,sl_first,1786685400,-1.0,stop_touch
1704,ACTUSDT,SHORT,LONG,0.00971,0.009393762376237624,0.010342475247524751,unresolved,1786724100,0.853788353162179,window_close
1705,BILLUSDT,SHORT,LONG,0.02284,0.02245227722772277,0.023615445544554456,sl_first,1786681800,-1.0,stop_touch
1707,BASEDUSDT,SHORT,LONG,0.07455,0.07352455445544555,0.07660089108910892,sl_first,1786639500,-1.0,stop_touch
1708,UAIUSDT,SHORT,LONG,0.24848,0.24218,0.26108,unresolved,1786725000,1.2238095238095186,window_close
1718,币安人生USDT,SHORT,LONG,0.4744,0.4677692079207921,0.4876615841584158,sl_first,1786682700,-1.0,stop_touch
1719,XANUSDT,LONG,SHORT,0.011079,0.011684217821782179,0.009868564356435643,unresolved,1786727700,0.41637901418358547,window_close
1720,C98USDT,SHORT,LONG,0.01341,0.013138712871287128,0.013952574257425744,tp_first,1786696200,1.0,target_touch
1722,BERAUSDT,SHORT,LONG,0.1399,0.13852079207920792,0.14265841584158415,tp_first,1786648500,1.0,target_touch
1723,LITUSDT,SHORT,LONG,2.32,2.2793069306930693,2.401386138613861,sl_first,1786658400,-1.0,stop_touch
1724,HMSTRUSDT,SHORT,LONG,0.0001746,0.00017175346534653466,0.00018029306930693065,tp_first,1786723200,1.0,target_touch
1725,PARTIUSDT,SHORT,LONG,0.02209,0.02173188118811881,0.022806237623762375,sl_first,1786700700,-1.0,stop_touch
1730,MEUSDT,LONG,SHORT,0.0641,0.0648881188118812,0.06252376237623762,sl_first,1786655700,-1.0,stop_touch
1734,ZMUSDT,LONG,SHORT,107.49,108.23742574257426,105.99514851485146,sl_first,1786648500,-1.0,stop_touch
1744,HEMIUSDT,SHORT,LONG,0.004701,0.004626267326732674,0.004850465346534653,sl_first,1786694400,-1.0,stop_touch
1745,AMATUSDT,SHORT,LONG,535.0,530.530693069307,543.9386138613861,ambiguous,1786652100,nan,both_barriers_same_candle
1746,ZORAUSDT,SHORT,LONG,0.00479,0.004746534653465346,0.0048769306930693075,sl_first,1786653900,-1.0,stop_touch
1747,ZBTUSDT,SHORT,LONG,0.08904,0.0876528712871287,0.09181425742574258,sl_first,1786661100,-1.0,stop_touch
1748,ALLOUSDT,SHORT,LONG,0.26965,0.2632148514851485,0.282520297029703,sl_first,1786696200,-1.0,stop_touch
1751,UBUSDT,LONG,SHORT,0.13443,0.13792861386138613,0.1274327722772277,sl_first,1786657500,-1.0,stop_touch
1757,COOKIEUSDT,LONG,SHORT,0.01237,0.01290881188118812,0.011292376237623762,sl_first,1786718700,-1.0,stop_touch
1758,CHIPUSDT,SHORT,LONG,0.02188,0.021544851485148515,0.02255029702970297,tp_first,1786683600,1.0,target_touch
1759,BANANAS31USDT,LONG,SHORT,0.008424,0.008717099009900989,0.00783780198019802,sl_first,1786681800,-1.0,stop_touch
1760,DOTUSDT,SHORT,LONG,0.762,0.7565445544554456,0.7729108910891089,sl_first,1786690800,-1.0,stop_touch
1761,HYPEUSDT,SHORT,LONG,56.551,56.10453465346535,57.443930693069305,sl_first,1786709700,-1.0,stop_touch
1762,ONDOUSDT,SHORT,LONG,0.3305,0.32752475247524754,0.33645049504950497,sl_first,1786703400,-1.0,stop_touch
1763,ACHUSDT,SHORT,LONG,0.004061,0.004024297029702971,0.00413440594059406,sl_first,1786707900,-1.0,stop_touch
1774,ZHIPUUSDT,SHORT,LONG,161.41,158.69960396039605,166.8307920792079,sl_first,1786688100,-1.0,stop_touch
1775,SIRENUSDT,SHORT,LONG,0.02911,0.02850722772277228,0.030315544554455443,sl_first,1786695300,-1.0,stop_touch
