id,ts_open,ts_open_utc,ts_close,ts_close_utc,symbol,direction,status,entry_price,sl_price,tp_price,exit_price,result_r,fix_cohort_by_close
5194,1787836870,2026-08-27T13:21:10+00:00,1787846443,2026-08-27T16:00:43+00:00,CHIPUSDT,LONG,tp,0.03813,0.03548571428571429,0.043418571428571424,0.043418571428571424,2.0000000000000027,post_fix
5126,1787831201,2026-08-27T11:46:41+00:00,1787847483,2026-08-27T16:18:03+00:00,MOVRUSDT,LONG,tp,0.917,0.8477321428571429,1.0555357142857142,1.056,2.006702758442899,post_fix
5156,1787832066,2026-08-27T12:01:06+00:00,1787851451,2026-08-27T17:24:11+00:00,KMNOUSDT,LONG,tp,0.02778,0.026338392857142855,0.030663214285714287,0.03069,2.0185804533630605,post_fix
5199,1787838072,2026-08-27T13:41:12+00:00,1787852354,2026-08-27T17:39:14+00:00,CRMUSDT,LONG,tp,239.06,233.24428571428572,250.6914285714286,250.6914285714286,2.000000000000005,post_fix
5311,1787850073,2026-08-27T17:01:13+00:00,1787853778,2026-08-27T18:02:58+00:00,MOVRUSDT,LONG,sl,1.033,0.9491071428571428,1.2007857142857141,0.9491071428571428,-1.0,post_fix
5225,1787841062,2026-08-27T14:31:02+00:00,1787855171,2026-08-27T18:26:11+00:00,INTWUSDT,LONG,sl,19.63,18.794821428571428,21.30035714285714,18.77,-1.0297199059225997,post_fix
5125,1787831198,2026-08-27T11:46:38+00:00,1787855702,2026-08-27T18:35:02+00:00,RUNEUSDT,LONG,sl,0.5662,0.5429392857142857,0.6127214285714286,0.5393,-1.1564563181329657,post_fix
5266,1787846167,2026-08-27T15:56:07+00:00,1787856388,2026-08-27T18:46:28+00:00,ACUUSDT,LONG,sl,0.1499,0.14012910714285715,0.16944178571428573,0.14012910714285715,-1.0,post_fix
5140,1787831472,2026-08-27T11:51:12+00:00,1787857388,2026-08-27T19:03:08+00:00,VETUSDT,LONG,tp,0.00694,0.006603732142857143,0.007612535714285714,0.007612535714285714,2.0,post_fix
5375,1787861732,2026-08-27T20:15:32+00:00,1787862687,2026-08-27T20:31:27+00:00,ASTEROIDUSDT,LONG,sl,6.5e-05,5.839464285714285e-05,7.821071428571429e-05,5.83e-05,-1.0143281968099471,post_fix
5247,1787845574,2026-08-27T15:46:14+00:00,1787863763,2026-08-27T20:49:23+00:00,SKRUSDT,LONG,tp,0.008882,0.008469285714285714,0.00970742857142857,0.00970742857142857,2.0,post_fix
5306,1787848869,2026-08-27T16:41:09+00:00,1787872528,2026-08-27T23:15:28+00:00,BLESSUSDT,LONG,tp,0.010998,0.010145892857142859,0.012702214285714285,0.012715,2.015004819984074,post_fix
