id,ts_open,ts_open_utc,symbol,direction,alert_type,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing,rsi_1h,rsi_bucket,up_count_12,trend_streak_candles,trend_start_ts,trend_delay_hours,trend_delay_bucket
3011,1787227730,2026-08-20T12:08:50+00:00,FLOCKUSDT,LONG,overheated_24h,0.03282,0.031981607142857145,0.034496785714285716,sl_first,1787230800,2026-08-20T13:00:00+00:00,-1.0,stop_touch,no,,,17.9269,below_50%,sl,1787230187,0.03196,84.40366972477064,rsi_ge_80,8,4,1787209200,5.147222222222222,4-7.9h
3015,1787227813,2026-08-20T12:10:13+00:00,PNUTUSDT,LONG,overheated_24h,0.05198,0.05038946428571428,0.05516107142857143,tp_first,1787300100,2026-08-21T08:15:00+00:00,1.9999999999999956,target_touch,no,,,27.1042,below_50%,tp,1787299929,0.05516107142857143,86.58536585365852,rsi_ge_80,10,1,1787220000,2.1702777777777778,0-3.9h
3016,1787227861,2026-08-20T12:11:01+00:00,XLMUSDT,LONG,overheated_24h,0.18165,0.17718375,0.19058250000000002,tp_first,1787247900,2026-08-20T17:45:00+00:00,2.0,target_touch,no,,,15.7801,below_50%,tp,1787247155,0.19083,69.4241686942417,rsi_lt_80,9,6,1787202000,7.183611111111111,4-7.9h
3045,1787229348,2026-08-20T12:35:48+00:00,ORDIUSDT,LONG,overheated_24h,4.367,4.229696428571429,4.641607142857143,sl_first,1787229900,2026-08-20T12:45:00+00:00,-1.0,stop_touch,yes,1787227935,pump_24h_fade,31.6459,below_50%,sl,1787229586,4.145,86.68012108980827,rsi_ge_80,9,6,1787202000,7.596666666666667,4-7.9h
3048,1787229378,2026-08-20T12:36:18+00:00,BOMEUSDT,LONG,overheated_24h,0.0012536,0.001179323214285714,0.0014021535714285713,sl_first,1787236200,2026-08-20T14:30:00+00:00,-1.0,stop_touch,yes,1787225813,pump_24h_fade,74.9671,at_or_above_50%,sl,1787235552,0.0011765,94.42078364565587,rsi_ge_80,10,3,1787212800,4.605,4-7.9h
3049,1787229419,2026-08-20T12:36:59+00:00,COLLECTUSDT,LONG,overheated_24h,0.057,0.05412589285714286,0.06274821428571428,tp_first,1787229900,2026-08-20T12:45:00+00:00,1.9999999999999976,target_touch,no,,,18.2213,below_50%,tp,1787229526,0.06339,60.023584905660364,rsi_lt_80,7,1,1787220000,2.616388888888889,0-3.9h
3053,1787229491,2026-08-20T12:38:11+00:00,FORMUSDT,LONG,overheated_24h,0.2429,0.2344357142857143,0.2598285714285714,tp_first,1787299200,2026-08-21T08:00:00+00:00,2.0,target_touch,no,,,23.7955,below_50%,tp,1787298932,0.2602,89.18918918918916,rsi_ge_80,8,6,1787202000,7.636388888888889,4-7.9h
3054,1787229515,2026-08-20T12:38:35+00:00,BRETTUSDT,LONG,overheated_24h,0.00464,0.004478857142857143,0.004962285714285714,sl_first,1787229900,2026-08-20T12:45:00+00:00,-1.0,stop_touch,no,,,28.5909,below_50%,sl,1787229586,0.004478857142857143,78.17919075144508,rsi_lt_80,6,6,1787202000,7.643055555555556,4-7.9h
3077,1787231921,2026-08-20T13:18:41+00:00,BRETTUSDT,LONG,overheated_24h,0.0045,0.0043388571428571426,0.004822285714285714,tp_first,1787297400,2026-08-21T07:30:00+00:00,2.0,target_touch,no,,,28.5909,below_50%,tp,1787297368,0.004822285714285714,72.22963951935915,rsi_lt_80,6,0,,,no_consecutive_trend
3078,1787231995,2026-08-20T13:19:55+00:00,COLLECTUSDT,LONG,overheated_24h,0.06115,0.05827589285714286,0.0668982142857143,sl_first,1787234400,2026-08-20T14:00:00+00:00,-1.0,stop_touch,no,,,34.0228,below_50%,sl,1787233720,0.05713,79.90373044524668,rsi_lt_80,7,2,1787220000,3.3319444444444444,0-3.9h
