id,ts_open,symbol,direction,strategy,alert_type,is_shadow,status,ts_close,entry_price,sl_price,tp_price,exit_price,confirmation_level,rr_multiple,rr_multiple_observed,breakeven_wr_pct,result_r,outcome,trend_regime,regime_reason,btc_candle_ts,btc_close,btc_ema50,shadow_reason
3390,1787292955,PEPEUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787307445,3.418e-06,3.3069464285714287e-06,3.640107142857143e-06,3.641e-06,1/3,2.0,2.0,33.333333333333336,2.008039877793855,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3396,1787293077,FORMUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787343355,0.2574,0.24876428571428574,0.27467142857142857,0.2747,1/3,2.0,2.0,33.333333333333336,2.003308519437552,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3402,1787294719,BTWUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787567845,0.49424,0.38266223214285716,0.7173955357142857,0.38266223214285716,1/3,2.0,2.0,33.333333333333336,-1.0,loss,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3413,1787296506,PEOPLEUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787301610,0.010998,0.010446267857142859,0.012101464285714285,0.012201,1/3,2.0,2.0,33.333333333333336,2.180405864647055,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3417,1787296762,BOMEUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787298454,0.0012914,0.0011994982142857144,0.0014752035714285714,0.0014901,1/3,2.0,2.0,33.333333333333336,2.1620907412804833,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3424,1787297064,PROMUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787343148,2.339,2.1745357142857142,2.6679285714285714,2.6679285714285714,1/3,2.0,2.0,33.333333333333336,2.0,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3426,1787297413,SENTUSDT,LONG,ema_cross_confirmed,ema_cross_confirmed,1,tp,1787358456,0.01292,0.012593620689655171,0.013572758620689655,0.01361,1/3,2.0,2.0,33.333333333333336,2.114104595879559,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3427,1787297415,GALAUSDT,LONG,ema_cross_confirmed,ema_cross_confirmed,1,tp,1787302689,0.001725,0.001642551724137931,0.001889896551724138,0.001891,1/3,2.0,2.0,33.333333333333336,2.0133835215391054,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3428,1787297423,XPLUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787305527,0.09449,0.09107964285714286,0.1013107142857143,0.1015,1/3,2.0,2.0,33.333333333333336,2.0555031940517323,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3429,1787297424,ENSUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787302509,4.803,4.661678571428571,5.085642857142857,5.085642857142857,1/3,2.0,2.0,33.333333333333336,2.0,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3430,1787297425,SSVUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787297912,2.803,2.72875,2.9515000000000002,2.958,1/3,2.0,2.0,33.333333333333336,2.0875420875420865,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3434,1787298865,FETUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787302333,0.1504,0.14526785714285714,0.16066428571428573,0.16066428571428573,1/3,2.0,2.0,33.333333333333336,2.0,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3443,1787299048,GALAUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787309578,0.001752,0.0016681071428571428,0.0019197857142857146,0.001925,1/3,2.0,2.0,33.333333333333336,2.0621541081311165,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3448,1787299220,BRETTUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787358456,0.004926,0.0047379107142857145,0.0053021785714285705,0.00546,1/3,2.0,2.0,33.333333333333336,2.8390771859869024,win,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3449,1787299227,ORDIUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787312129,4.495,4.321428571428571,4.842142857142858,4.313,1/3,2.0,2.0,33.333333333333336,-1.048559670781893,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3450,1787299228,USELESSUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787358456,0.05527,0.05233,0.061149999999999996,0.06469,1/3,2.0,2.0,33.333333333333336,3.2040816326530623,win,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3466,1787300128,币安人生USDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787382140,0.5265,0.5012758928571428,0.5769482142857143,0.57737,1/3,2.0,2.0,33.333333333333336,2.01672153198117,win,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3470,1787300251,COWUSDT,LONG,ema_cross_confirmed,ema_cross_confirmed,1,tp,1787555254,0.1147,0.10861206896551724,0.1268758620689655,0.1268758620689655,1/3,2.0,2.0,33.333333333333336,2.0,win,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3473,1787300972,ASTEROIDUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787340203,7.51e-05,6.886964285714285e-05,8.756071428571428e-05,6.85e-05,1/3,2.0,2.0,33.333333333333336,-1.0593293207222694,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3476,1787301093,BERAUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787302983,0.192,0.18623035714285716,0.2035392857142857,0.1857,1/3,2.0,2.0,33.333333333333336,-1.0919220055710324,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3478,1787301154,XRPUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787358456,1.3529,1.3112107142857143,1.4362785714285713,1.4546,1/3,2.0,2.0,33.333333333333336,2.439475713184273,win,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3481,1787301906,PEOPLEUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787303481,0.012361,0.011752214285714286,0.01357857142857143,0.011752214285714286,1/3,2.0,2.0,33.333333333333336,-1.0,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
